identifier,Reconciled names,"Name (Last, First)",image,BG's Nickname or Reference,Life Dates,Biographical Description
00001,"Abbott, Herbert Vaughn","Abbott, Herbert Vaughn",,,1865-1929,"Senda Berenson's husband, Professor of English at Smith College"
00002,Frederick Upham Adams,"Adams, Frederick",,,1910-2001,"American bibliophile and Director of the Morgan Library, 1948-69"
00003,Maude Adams,"Adams, Maude",Maude-Adams-The-Little-Minister.jpg,,1872-1953,"American actress"
00004,Lockett Agnew,"Agnew, William Lockett",,,1858-1919,"British art dealer; partner at Agnew's"
00005,"Aldrich, Lilian Woodman","Aldrich, Lilian Woodman",,,1841-1927,"Wife of Thomas Bailey Aldrich, editor of The Atlantic Monthly"
00006,Nelson W. Aldrich,"Aldrich, Nelson W.",,,1841-1915,"American politician and Republican Senator from Rhode Island (1881-1911); co-wrote the Payne-Aldrich Tariff Act that removed import duties on fine art"
00007,Benjamin Altman,"Altman, Benjamin",Benjamin Altman.jpg,Benny,1840-1913,"American art collector and owner of New York department store, B. Altman"
00008,Louis K. Anspacher,"Anspacher, Louis",,,1878-1947,"American playwright"
00009,Allison V. Armour,"Armour, Allison",,,1863-1941,"Yachtsman who led sailing expeditions with William Henry Holmes"
00010,"Armstrong, Paul","Armstrong, Paul",,,1869-1915,"American playwright"
00011,"Askew, R. Kirk","Askew, R. Kirk",,,,"Manager of Durlacher Brothers New York branch, which he ran through c. 1969 following George Durlacher's retirement in 1938"
00012,Ava Lowle Willing,"Astor, Ava Willing",Mrs. Ava W. Astor LCCN2014686029 (cropped).jpg,,1868-1958,"American socialite married to (and then divorced in 1909 from) John Jacob Astor IV who lived in England from 1911 on"
00013,Gertrude Atherton,"Atherton, Gertrude",GertrudeAtherton.png,,1857-1948,"American novelist"
00014,"Babbott, Frank L.","Babbott, Frank L.",,,1854-1943,"Brooklyn art collector"
00015,Carlos Baca-Flor,"Baca-Flor, Carlos",CarlosBacaFlor.jpg,,1869-1941,"Peruvian painter who made portraits of JPM, BG, Jack, and others"
00016,Edward Kellogg Baird,"Baird, Edward Kellogg",Edward Kellogg Baird 3597338851 577c78a5dd o.jpg,,1876-1951,"Beau and short-lived fiancé of BG; corporate lawyer; president of the Century Opera Company (for a short period)"
00017,George Fisher Baker Jr.,"Baker Jr., George Fisher",George F. Baker Jr. LCCN2014693469 (cropped).jpg,,1878-1937,"Son of financier George Fisher Baker"
00018,Stefano Bardini,"Bardini, Stefano",Stefano Bardini.jpg,,1836-1922,"Florentine collector and dealer and restorer of Italian Medieval and Renaissance sculptures, paintings, and decorative arts"
00019,"Barnes, Grace Edith","Barnes, Grace Edith",,,1897-1943,"Assistant to John La Farge"
00020,Adam Bartsch,"Bartsch, Adam von",Adam von Bartsch by Adam von Bartsch.jpg,,1757-1821,"Austrian art historian, author of The Illustrated Bartsch and Le Peinture Graveur"
00021,Bernard Mannes Baruch,"Baruch, Bernard","BARUCH, BERNARD 2.jpg",,1870-1965,"American financier, stock investor, philanthropist, statesman, and political consultant to Woodrow Wilson during WWI"
00022,"Beach, George Spencer","Beach, George Spencer",,,1853-1940,"American lawyer and husband of Luella Estella Cowan Beach"
00023,"Beach, Luella Estella Cowan","Beach, Luella Estella Cowan",,,1854-1934,"Wife of George Spencer Beach"
00024,"Beekman, Frances Lewis Livington","Beekman, Frances Lewis Livington",,,b. 1886,"Friend of BG who joined convent of Saint John the Baptist in New Jersey and became Sister Aline Frances"
00025,"Benson, Evelyn Holford","Benson, Evelyn Holford",,,1856-1943,"British collector; wife of Robert Henry Benson; daughter of collector Robert Staynor Holdford"
00026,Robert Benson,"Benson, Robert Henry",Robin Benson.png,Robin; R. H. Ben,1850-1929,"British Banker and collector of early Italian Renaissance art"
00027,Mary Berenson,"Berenson, Mary",Mary Berenson (née Smith) 1885 from NPG.jpg,Mrs. Berenson; Mary; Mrs. B. B.; Miss Mary,1964-1945,"Art historian and wife of Bernard Berenson"
00028,Senda Berenson Abbott,"Berenson, Senda",Senda Berenson.jpg,,1868-1954,"Eldest sister of Bernard Berenson, prominent figure in women's basketball, married name was Senda Abbott"
00029,Marthe Bibesco,"Bibesco, Marthe",Marthe Bibesco Boldini.jpg,,1886-1973,"Romanian-French writer and socialite"
00030,Ambrose Bierce,"Bierce, Ambrose",Ambrose Bierce-1.jpg,,1842-1914,"American journalist, writer, and satirist"
00031,"Bigelow, John","Bigelow, John",,,1817-1911,"American lawyer and politician; first President of the New York Public Library"
00032,Laurence Binyon,"Binyon, Laurence",Laurence Binyon by William Strang.jpg,,1869-1943,"English art historian, Keeper at the British Museum, and poet"
00033,"Bisbane, Arthur","Bisbane, Arthur",,,1864-1936,"American newspaper editor and with William Randolph Heart, real estate magnate"
00034,Florence Meyer Blumenthal,"Blumenthal, Florence Meyer",Florence blumenthal.jpg,Florrie; Mrs. Flowerdale,1875-1930,"First wife of George Blumenthal and philanthropist involved in Franco-American relations"
00035,"Blumenthal, George","Blumenthal, George",George_Blumenthal_circa_1920.jpg,,1858-1941,"Banker and partner at Lazard Freres, art collector, and philanthropist"
00036,Wilhelm von Bode,"Bode, Wilhelm von",Max Liebermann Bildnis Wilhelm Bode.jpg,,1845-1929,"German art historian and sculpture specialist, founder of the Kaiser Friedrich Museum (today's Bode Museum) in Berlin, author of J.P. Morgan's catalog of Italian Renaissance small bronzes"
00037,"Bourgeois, Stephen","Bourgeois, Stephen",,,1881-1964,"German art dealer based in New York who specialized in modern art"
00038,"Bauer, Godefroy","Bauer, Godefroy",,,1857-1923,"Florentine art dealer, specializing in Renaissance painting and sculpture"
00039,"Breck, Joseph","Breck, Joseph",,,1885-1933,"Curator of Decorative Arts and Assistant Director of the Metropolitan Museum of Art and first Director of the Cloisters"
00040,Louis Bréhier,"Bréhier, Louis Rene",Louis René Bréhier (1868–1951).png,,1868-1951,"French art historian and byzantanist"
00041,"Brown, John Carter I","Brown, John Carter I",,,1787-1874,"American collector of Americana, founder of the John Carter Brwn Library (today at Brown University)"
00042,John Carter Brown,"Brown, John Carter II",John Carter Brown.jpg,,1840-1907,"Brother of John Nicholas Brown I"
00043,John Nicholas Brown,"Brown, John Nicholas I",John Nicholas Brown I.jpg,,1861-1900,"Son of John Carter Brown; book collector who expanded his father's collection and donated it to Brown University"
00044,John Nicholas Brown II,"Brown, John Nicholas II","John Nicholas Brown portrait, 1921.jpg",,1900-1979,"Son of John Nicholas Brown, American financier and Assistant Secretary of the Navy (1946-1949); father of John Carter Brown III, Direcror fo fthe NGA"
00045,"Brown, Mrs. John Carter II","Brown, Mrs. John Carter II",,,1848-1936,"Née Anne Crawford Allen; wife of John Carter Brown II; host of BG in Providence"
00046,John E. Bruce,"Bruce, John E.",John E. Bruce.jpg,,1856-1924,"Former slave and prominent African-American writer"
00047,Arnold W. Brunner,"Brunner, Arnold W.",Arnold W. Brunner.jpg,,1857-1925,"American architect"
00048,"Brunner, Emma B.","Brunner, Emma B.",,Brunnie,,"American writer and wife of Arnold Brunner"
00049,Gelett Burgess,"Burgess, Gelett",Gelett Burgess.jpg,,1866-1951,"American art critic, writer, and essayist"
00050,Edward Burne-Jones,"Burne-Jones, Edward Coley",Frederick Hollyer portrait of Edward Burne-Jones c1882.jpg,,1833-1898,"British painter and designer; part of the Pre-Raphaelite movement; close collaborator of William Morris"
00051,Bryson Burroughs,"Burroughs, Bryson",Henri Caro-Delvaille - Bryson Burroughs (1869–1934) - 2019-404 - Princeton University Art Museum.jpg,,1869-1934,"American artist and curator at the Metropolitan Museum of Art"
00052,Nicholas Murray Butler,"Butler, Nicholas Murray",1921 N M Butler.jpg,,1862-1947,"President of Columbia University"
00053,Jesse Benedict Carter,"Carter, Jesse Benedict",,,1872-1917,"American classicist with a focus on 19th and 20th centuries; Latin professor in Princetonl; in Rome, was director of the American School for Classical Studies in 1907 and American Academy of Rome in 1912, where he focused on Roman religion and topography"
00054,"Cavendish, Victor","Cavendish, Victor",,Devonshire,1868-1938,"British politician, 9th Duke of Devonshire, Governor General of Canada"
00055,"Champion, Pierre","Champion, Pierre",,,1880-1942,"French author and son of publisher Honoré Champion"
00056,"Chanler, Margaret","Chanler, Margaret",,"""Mrs. Winthrop""",1862-1952,"American writer and wife of Winthrop Chanler"
00057,Winthrop Astor Chanler,"Chanler, Winthrop",Winthrop Chanler - War Records of the Knickerbocker Club.jpg,,1863-1926,"American sportsman and husband of Margaret Chanler"
00058,Émile Chassinat,"Chassinat, Emile",Chassinat(1).png,,1868-1948,"French Egyptologist and Director of French Institute for Orinetal Archaeology"
00059,"Chatham, Kitty","Chatham, Kitty",,,,
00060,"Choate, Joseph Hodges","Choate, Joseph Hodges",,,1832-1917,"American lawyer and diplomat and founding benefactor of the Metropolitan"
00061,"Clarke, Burden","Clarke, Burden",,,,"British art historian"
00062,Albert Tobias Clay,"Clay, Albert T.",Albert T. Clay.jpg,,1866-1925,"American professor of Assyriology and Babylonian Literature at Yale University; curator of Yale Babylonian Collection"
00063,Edmond Clément,"Clément, Edmond",Harvard Theatre Collection - Edmond Clément TCS 1.5270.jpg,,1867-1928,"French lyric tenor, who sang in the United States, first with the Metropolitan Opera (1909-1910) and then with the Boston Opera House (1911-1913)"
00064,"Clémont, Edmond","Clémont, Edmond",,,1867-1928,"French opera tenor"
00065,Cobina Wright,"Cobina, Esther",Cobina Wright 1949.JPG,Mrs. Owen Johnson; Owen's lady,1887-1971,"American opera singer, born Esther Cobb, who married Owen McMahon Johnson in 1912"
00066,Florence Kate Kingsford,"Cockerell, Florence Kate Kingsford",,,1871-1949,"British illustrator and calligrapher; wife of Sydney Cockerell"
00067,"Cockerell, Sydney","Cockerell, Sydney",,S. C. C.,1867-1962,"English museum curator and Director of the Fitzwilliam Museum, Cambridge"
00068,Sidney Colvin,"Colvin, Sidney",Sir Sidney Colvin.png,,1845-1927,"English curator and critic, Keeper of Prints at the British Museum"
00069,Roland R. Conklin,"Conklin, Roland Ray",Roland Ray Conklin (1858–1938).png,,1858-1938,"American financier and real estate mogul from Illinois, owner of the North American Trust Company; owner of Rosemary Farm, designed by Wilson Eyre around 1907 with landscaped grounds by Frederick Law Olmsted"
00070,Charles Conder,"Conder, Charles",Charles-Conder-Self-Portrait.jpg,,1868-1909,"English painter, lithographer, and designer"
00071,Herbert Cook,"Cook, Herbert Frederick","William Orpen - Portrait of Sir Herbert Cook, 1923.jpg",,1868-1939,"English art patron and art historian, of Doughty House"
00072,"Cosgrave, John O'Hara","Cosgrave, John O'Hara",,Jack,,"American magazine editor, sometime beau of BDCG; editor of New York World, Everybody's Magazine, and others"
00073,Ray Strachey,"Costelloe, Rachel",Ray Strachey restored.jpg,,1887-1940,"Daughter of Mary Berenson and Benjamin ""Frank"" Conn Costelloe; as Ray Strachey was writer and women's suffragette"
00074,Amalia Küssner Coudert,"Coudert, Amalia Küssner",Miss Amalia Küssner.jpg,,1863-1932,"American miniature portraitist who depicted many American and European society women"
00075,Edward Gordon Craig,"Craig, Edward Gordon",Gordon Craig.jpg,"""Ted""",1872-1966,"Son of Ellen Terry and bookplate designer; designed BG bookplate in 1911"
00076,"Cram, Elizabeth Carrington Read","Cram, Elizabeth Carrington Read",,,1873-1943,"Wife of Ralph Adams Cram"
00077,Ralph Adams Cram,"Cram, Ralph Adams",Ralph A. Cram cph.3b34921.jpg,,1863-1942,"American architect specializing in Gothic Revival"
00078,"Crawford, Francis Marion","Crawford, Francis Marion",,,1854-1909,"American writer and expatriate who lived in Italy, where many of his novels were set"
00079,Frank Crowninshield,"Crowninshield, Frank",Francis Crowninshield.jpg,,1872-1947,"American art and theater critic and editor of Vanity Fair (1914-1935)"
00080,"Curtis, Ralph","Curtis, Ralph",,Mr. Curtis,1854-1922,"American Impressionist painter and friend of Berenson"
00081,"Cuyler, Cornelius Cuyler","Cuyler, Cornelius Cuyler",,,1859-1909,"American banker and close friend and business partner of Junius Spencer Morgan"
00082,"Davidson, Jo","Davidson, Jo",,,1883-1952,"American sculptor who specialized in portrait busts; made a posthumous terracotta bust of BG (AZ205)"
00083,Acton Davies,"Davies, Acton",,,1870-1916,
00084,Henry P. Davison,"Davison, Henry Pomeroy",Henry Davison.jpg,H. P. D,1867-1922,"American banker, partner in J.P. Morgan Co., named Chairman of the War Council of the American Red Cross in 1917"
00085,"Davison, Kate Trubee","Davison, Kate Trubee",,,1871-1962,"Founder of Nassau County's Red Cross chapter in 1917, wife of Henry Pomeroy Davison"
00086,"De Forest, Anita Hargous","De Forest, Anita Hargous",,,c. 1863-1932,"Mexican-born wife of George Beach de Forest"
00087,Emily Johnston De Forest,"De Forest, Emily Johnston",,,1850/51-1942,"Wife of Robert de Forest and collector of decorative arts, with a focus on Mexican maiolica, Pennsylvania Dutch art, and furniture"
00088,"De Forest, George Beach","De Forest, George Beach",,,1848-1932,"American financier and book collector, a large part of whose collection was purchasd by JPM in October 1902"
00089,"De Forest, Robert W.","De Forest, Robert W.",,,1848-1931,"American lawyer, financier, and philanthropist; trustee of the Metropolitan Museum of Art beginning in 1889; succeeded JPM as Met's president in 1913 (a position he held until his death); in 1922, he and wife, Emily, founded with Met's American Wing"
00090,Cornelis Hofstede de Groot,"De Groot, Cornelis Hofstede",Max Liebermann - Portrait de Cornelis Hofstede de Groot à l'âge de 65 ans - 1928.jpg,,1863-1930,"Dutch art collector, art historian, and museum curator"
00091,Seymour de Ricci,"De Ricci, Seymour",Seymour De Ricci photo portrait.png,,1881-1924,"British bibliographer"
00092,Maurice de Rothschild,"De Rothschild, Maurice","""Sardanapale"", gagnant du Grand Prix de Paris, et son propriétaire, le baron Maurice de Rotschild.png",,1881-1957,"French art collector and financier"
00093,Elsie de Wolfe,"De Wolfe, Elsie",Elsie de Wolfe c1917.jpg,,1859-1950,"American actress and interior decorator, who split most of her time between New York and Paris; also known as Lady Mendl"
,,,Elsie de Wolfe (1880).jpg,,,
,,,Elsie de Wolfe.jpg,,,
,,,"De Wolfe, Elsie.jpg",,,
00094,Jennie Walters Delano,"Delano, Jennie Walters",,,1853-1922,"Sister of Henry Walters"
00095,"Ditson, Alice M.","Ditson, Alice M.",,Mrs. Ditson,,"Friend of BG; wife of music publisher Charles Ditson"
00096,"Dixon, George Arthur","Dixon, George Arthur",,,1857-1933,"Doctor who attended JPM"
00097,"Dixon, Sarah Pearl Dunton","Dixon, Sarah Pearl Dunton",,,1856-1925,"First wife of Dr. George Arthur Dixon"
00098,"Dodge, Edwin","Dodge, Edwin",,,1874-1938,"American architect married (1904-1916) to Mabel Dodge"
00099,Mabel Dodge Luhan,"Dodge, Mabel",Mabel Dodge Luhan - Van Vechten.jpg,,1879-1962,"American arts patron who lived in Florence with her husband, Edwin Dodge (m. 1900, div. 1916) and ran a salon of sorts at her home, the Villa Curonia"
00100,"Donaldson, George","Donaldson, George",,,1845-1925,"British collector and art dealer specializing in historic furniture"
00101,Robert Langton Douglas,"Douglas, R. Langton",,,1864-1951,"British Italian Renaissance art historian and sometime art dealer who served as Director of the National Gallery of Ireland (1916-1932) and worked for Duveen in New York from 1940 onward"
00102,"Drexel, Anthony Joseph, Jr.","Drexel, Anthony Joseph, Jr.",,,1864-1934,"American banker whose father founded Drexel, Morgan, & Co. with JPM in 1871; married Marjorie Gould in 1910"
00103,"Dring, Edmund Hunt","Dring, Edmund Hunt",,,1863-1928,"British scholar with focus on Free Masonry"
00104,"Drinkwater, John","Drinkwater, John",,,1882-1937,"English poet, playwright, and critic"
00105,Isadora Duncan,"Duncan, Isadora",Isadora Duncan portrait cropped.jpg,Ariadne,1877/78-1927,"Pioneering American modern dancer and choreographer"
00106,"Durlacher, George","Durlacher, George",,,1856-1938?,"Partner in Durlacher Brothers firm, a London-based dealership that sold a wide variety of largely decorative arts"
00107,Paul Durrieu,"Durrieu, Paul",PaulDurrieu2.jpg,,1855-1925,"French art historian, curator, and dealer"
00108,Paul Durrieu,"Durrieu, Paul",PaulDurrieu2.jpg,Uncle Henry,1854-1919,"London art dealer and younger brother of Joseph, his partner at Duveen Brothers"
00109,"Duveen, Joseph","Duveen, Joseph",Joseph_Duveen.jpg,Joe,1869-1939,"Son of Joseph Joel Duveen, after whose death, he took over Duveen Brothers"
00110,"Duveen, Joseph Joel","Duveen, Joseph Joel",,,1843-1908,"London art dealer and older brother of Henry, his partner at Duveen Brothers"
00111,Wilberforce Eames,"Eames, Wilberforce",Wilberforce Eames.jpeg,,1855-1937,"American bibliographer and librarian, first at the Lenox Library and then at the New York Public Library; the ""Dean of American bibliographers"""
00112,"Earle, Richard Mortimer","Earle, Richard Mortimer",,,,"Englishman"
00113,"Egan, Martin","Egan, Martin",,,1872-1938,"War journalist and publicist for J.P.M. & Co., partner, husband of Eleanor Franklin Egan"
00114,Franz Ehrle,"Ehrle, Franz",Kardinal Franziskus Ehrle.jpg,,1845-1934,"Archivist of the Vatican Library"
00115,"Eliot, Charles William","Eliot, Charles William",,,1834-1926,"American academic, Harvard President (1869-1909), editor of Harvard Classics"
00116,"Elliott, Gertrude","Elliott, Gertrude",,,1874-1950,"American actress and wife of Johnston Forbes-Robertson (sometimes referred to as Lady Forbes-Robertson)"
00117,George Eumorfopoulos,"Eumorfopoulos, George",George Eumorfopoulos05.jpg,,1863-1939,"British collector of European porcelain and Chinese art"
00118,"Evans, Joan","Evans, Joan",,,1893-1977,"British scholar of Medieval art and collector of gems and jewelry (given to the Victoria and Albert Museum in 1975)"
00119,"Fanton, Mary","Fanton, Mary",,Mrs. Roberts,1964-1956,"American journalist who wrote on decorative arts and the home, later Mary Fanton Roberts; editor of the Craftsman; wife of"
00120,Beatrix Farrand,"Farrand, Beatrix",Beatrix Jones Farrand cabinet card est 1890s-1910s.jpg,Beatrice,1872-1959,"Landscape gardener and architect and neice of Edith Wharton who landscaped the grounds of the Morgan Library and sections of Princeton University campus"
00121,Barry Faulkner,"Faulkner, Barry",,,1881-1966,"American muralist and painter and part of the New York Camouflage Society in World War I"
00122,"Faversham, William","Faversham, William",,,1868-1940,"English actor"
00123,"Ferguson, John C.","Ferguson, John C.",,,1866-1945,"American collector and scholar of Chinese art"
00124,Ferri,Ferri,,,,"Italian man (singer?)"
00125,Annie Adams Fields,"Fields, Annie Adams",Annie Adams Fields John Singer Sargent.jpg,Mrs. Fields,1834-1915,"Bostonian author,  philanthopist, and book collector; wife of James Fields"
00126,"Fitzhenry, Joseph Henry","Fitzhenry, Joseph Henry",,Fitz,1836-1913,"British art collector (French porcelain and Dutch faience) and dealer who served as an unofficial advisor to Morgan; founding member of the Victoria and Albert Museum's Advisory Council"
00127,Johnston Forbes-Robertson,"Forbes-Robertson, Johnston",Johnston Forbes-Robertson cph.3b31602.jpg,,1853-1937,"English theater manager and actor especially renowned for his portrayal of Hamlet"
00128,Edward Waldo Forbes,"Forbes, Edward W.","Edward Waldo Forbes (1873–1969), c. 1920.png",,1873-1969,"American art historian and director of the Fogg Museum 1909-1944"
00129,Rosita Forbes,"Forbes, Rosita",Mrs. Rosita Forbes - Photo Mendoza LCCN2014712854.jpg,,1890-1967,"British travel writer and explorer"
00130,"Forrer, Robert","Forrer, Robert",,,1866-1947,"Swiss archaeoologist, antiquarian, and collector based in Strasburg, Germany"
00131,Dick Forrest,"Forrest, Dick",,,,"Unidentified"
00132,André de Fouquières,"Fouquières, André de",André de Fouquières Nadar.jpg,,1874-1959,"French writer, aesthete, and man-about-town"
,,,André de Fouquières.jpg,,,
,,,André de Fouquières Marevéry.jpg,,,
00133,"Franc, Helen","Franc, Helen",,,1908-2006,"American museum professional, most of her career was spent at the Museum of Modern Art"
00134,"Freedly, Durr","Freedly, Durr",,,1888-1938,"American muralist and portraitist"
00135,Charles Lang Freer,"Freer, Charles Lang",Charles Lang Freer portrait.jpg,,1854-1919,"American industrialist and collector of Asian art, founder of the Freer Galley of Art in Washington D.C."
00137,"French, Mary Walker","French, Mary Walker",,Mrs. Barton French,1866-1964,"American socialite and member of hte women's committee of the American Ambulance Association during World War I"
