Box Number,Folder Number,Date (YYYY/MM/DD),Letter_ID,I Tatti file name(s),sender,recipient,Letterhead,"Location Written (city, state)",Location Written (country),I Tatti Sheet Number(s),I Tatti Letter Number,Number of Pages,Number of Images,Notes,Accompanying Material,"Subject -- People (Last Name, First Name)",Subjects,Letters Contents,"Name of Transcriber 1 (Last Name, First Name)",Transcriber 1 Initials,Date Claimed (YYYY/MM/DD),Date Completed (YYYY/MM/DD),"Name of Transcriber 2 (Last Name, First Name)",Transcriber 2 Initials,Date Claimed (YYYY/MM/DD),Date Completed (YYYY/MM/DD),Date Finalized (YYYY/MM/DD),
60,01,1909_02_23,00001,"32044150446383_001, 32044150446383_002","Greene, Belle da Costa","Berenson, Bernard",The Library / Thirty-three East Thirty-sixth Street,"New York, NY",United States,1,,3,2,"First letter written to BB by BDCG; ""1909"" written by BB",,"Costelloe, Rachel; Stephen, Karin",,,"Foner, Daria",DRF,2020/07/03,2020/08/07,"Palmer, Philip",PSP,2020/08/07,2020/08/07,2020/08/07,
60,01,1909_03_08,00002,32044150446383_003,"Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,2,,1,1,"""March. 8, 09 / New York fr. / Belle / Greene"" written by BB","Clipping of Alice Rollitt Coe's, ""The Turn of the Road,"" from Scribner's Magazine",,American literature; poetry,"Alice Rollitt Coe, ""The Turn of the Road""","Foner, Daria",DRF,2020/07/03,2020/08/08,"Palmer, Philip",PSP,2020/08/08,2020/08/08,2020/08/08,
60,01,1909_03_17,00003,"32044150446383_004, 32044150446383_005, 32044150446383_006, 32044150446383_007, 32044150446383_008, 32044150446383_009","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,3-5,,9,6,"""March 17, 09"" written by BB",,"Gilder, Richard Watson; Gilder, Helena de Kay",American literature; poetry; cultural institutions; British art,"Woodmanston Inn; Zuloaga, Ignacio; Hispanic Society; Gerda Dalliba, ""Ode to Youth""; La Provence; Kronprinzessin Cecilie (ship); lecture on Monna Vanna","Foner, Daria",DRF,2020/07/03,2020/08/09,"Palmer, Philip",PSP,2020/08/09,2020/08/09,2020/08/09,
60,01,1909_03_19_21,00004,"32044150446383_010, 32044150446383_011, 32044150446383_012, 32044150446383_013","Greene, Belle da Costa","Berenson, Bernard",SIGILLVM VNIVERSITATIS PRINCETONIENSIS / VET NOV / TESTAM / ENTAM / DEI SUB NVMINE VIGET ,"Princeton, New Jersey",United States,6-7,,5,4,"Letterhead has Princeton University seal and shield; ""09"" written by BB; 20 March 1909 was a Saturday",,"Wilson, Woodrow; Frothingham, Arthur",Dutch art; German art,Princeton; Rembrandt etchings; Dürer etchings,"Foner, Daria",DRF,2020/08/12,2020/08/10,"Palmer, Philip",PSP,2020/08/10,2020/08/10,2020/08/10,
60,01,1909_03_24 ,00005,"32044150446383_014, 32044150446383_015","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,8,,2,2,"""'09"" written by BB",,,,dentist; transatlantic crossing; Mauretania (ship),"Foner, Daria",DRF,2020/08/12,2020/08/11,"Palmer, Philip",PSP,2020/08/11,2020/08/11,2020/08/11,
60,01,1909_03_UNDATED_ 01,00006,"32044150446383_016, 32044150446383_017","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,9,,3,2,"""March 09"" written by BB; either March 6, 13, 20, or 27",,,,Boston; telephone number (4893 Morningside),"Foner, Daria",DRF,2020/08/12,2020/08/12,"Palmer, Philip",PSP,2020/08/12,2020/08/12,2020/08/12,
60,01,1909_03_UNDATED_ 02,00007,"32044150446383_018, 32044150446383_019, 32044150446383_020","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,10-11,,4,3,"""March 09"" written by BB",,"Berenson, Mary; Morgan, J. Pierpont",,Boston; Berenson book; Princes' Gate; London,"Foner, Daria",DRF,2020/08/12,2020/08/13,"Palmer, Philip",PSP,2020/08/13,2020/08/13,2020/08/13,
60,01,1909_03_05,00008,"32044150446383_021, 32044150446383_022, 32044150446383_023, 32044150446383_024","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,12-13,,6,4,"Postscript is dated March 5; ""1909"" written in later hand; ""'9"" written by BB on last page",,"Ditson, Alice",,Boston; telephone number (4893 Morningside); address (403 West 115 Street),"Foner, Daria",DRF,2020/08/12,2020/08/14,"Palmer, Philip",PSP,2020/08/14,2020/08/14,2020/08/14,
60,01,1909_03_UNDATED_ 03,00009,"32044150446383_025, 32044150446383_026, 32044150446383_027, 32044150446383_028","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,14-15,,5,4,"""March 09"" written by BB; either March 4, 11, 18, or 25",,,British literature; American art; fiction,"John Singleton Copley; William Morris, Wood Beyond the World","Foner, Daria",DRF,2020/08/12,2020/08/15,"Palmer, Philip",PSP,2020/08/15,2020/08/15,2020/08/15,
60,02,1909_04_06 ,00010,"32044150446375_001, 32044150446375_002, 32044150446375_003, 32044150446375_004, 32044150446375_005, 32044150446375_006","Greene, Belle da Costa","Berenson, Bernard",PHI LAMBDA (Greek letters),"New York, NY",United States,16-18,,9,6,"""09"" written by BB",,"Fitzhenry, Joseph Henry; Salting, George; Hoentschel, George",Italian literature; poetry; music; library work; language learning; race and ethnicity,Palm Beach; Tristan und Isolde; opera; Dante; Divine Comedy; Vita Nuova; bookbinding course; library inventory; Italian lessons; Portuguese ancestry,"Foner, Daria",DRF,2020/08/12,2020/08/16,"Palmer, Philip",PSP,2020/08/16,2020/08/16,2020/08/16,
